Item Number,Brand,Description,Pack/Size,Price,UOM
102750,REGAL NP,COATED REGAL NP FRIES,6/4.5,31.59,cs
102770,REGAL NP,CRISPY COATED S/S FRIES 6/6,L,38.98,CS
102790,REGAL NP,SPICY FRIES,6/4.5,37.95,CS
102810,REGAL NP,TATER NUGGETS 6/5,L,39.40,cs
103500,REDSTONE,03622 SEASONED SPIRALS 6/4,L,43.00,cs
104600,SIMPLOT,364573 IQF HASH BROWN 6/3,L,35.38,cs
105000,SIMPLOT,466017 HOME FRIES TRADIT 6/5,L,55.85,CS
105400,SIMPLOT,47801 WEDGE CUTS SAVORY 6/5,L,60.87,CS
105600,SIMPLOT,47014 LOOPS SEASONED 6/5,L,58.50,cs
105630,SIMPLOT,22213 K/K SUN CROP FRIES 6/5,L,36.55,CS
105645,SIMPLOT,229032 STEAK FRY SUN CROP 6/5,L,36.55,CS
105800,REDDY,44300 3/8 REDDY REDS 6/5,L,26.50,cs
106000,REDDY,44700 STEAK REDDY REDS 6/5,L,26.80,cs
106190,QUALIFREEZ,CHUNKY POTATO CUBES 6/5,L,31.65,cs
106410,REGAL NP,SWEET POTATO FRIES 5/16,6/2.5,26.75,CS
106430,REGAL NP,SWEET POTATO FRIES MAXI,6/2.5,22.75,CS
106460,HARVEST,3725 3/8 S/C SWEET FRIES,6/2.5,35.05,cS
106475,HARVEST,4712 SWEET POTATO WEDGE,6/2.5,33.00,cS
106505,REGAL NP,SWEET POTATO DICED,1/20,1.01,LB
108000,REGAL NP,10170 DICED POTATOES 6/5,L,28.85,cs
150095,SIMPLOT,757672 ROAST RSMRYRED CHN,6/2.5,32.60,CS
150900,REGAL NP,BEANS CUT GREEN,12/2.,0.81,LB
152200,REGAL NP,ARTICHOKE HEARTS QUARTERS,12/2,2.20,LB
152500,REGAL NP,ASPARAGUS MEDIUM SPEARS,6/2.5,2.65,LB
152700,REGAL NP,BEANS BABY LIMA,1/20,1.50,LB
152900,REGAL NP,BEANS REGULAR CUT,12/2,0.82,LB
153100,REGAL NP,BEANS WAX,12/2.,.96,LB
153150,ARDO,HARICOT VERT,10/1,1.14,LB
153400,REGAL NP,BROCCOLI CHOPPED,12/2.,0.94,LB
153700,REGAL NP,BROCCOLI FLORETS-IQF BAGS,12/2,.99,LB
153720,REGAL NP,BROCCOLI FLORETS PETITE,1/10,1.29,LB
153740,REGAL NP,BROCCOLI FLORETS ECUADOR,1/20,1.09,LB
153760,REGAL NP,BROCCOLI FLORETS TOTES,1/TOT,0.90,LB
153800,REGAL NP,BROCCOLI SPEARS,12/2,1.13,LB
105500,SIMPLOT,47902 LATTICE SEASONED,6/4.5,51.505,CS
105620,SIMPLOT,221036 3/8 SUN CROP FRIES 6/5,L,35.95,CS
105640,CHEF SKIN,"ON 1/2"" STRAIGHT CUT",6/SLB,17.50,CS
105700,REDDY,44200 THINS REDDY REDS 6/5,L,26.50,cs
105900,REDDY,44530 K/K REDDY REDS 6/5,L,26.50,cs
106100,REDDY,44900 S/S REDDY REDS,6/4.5,26.73,CS
106200,GOLDEN,35771 3/8 S/C FRY SKIN ON 6/5,L,30.10,cS
106420,REGAL NP,SWEET POTATO FRIES 3/8,6/2.5,26.75,cS
106450,HARVEST,3731 5/16 SWEET POTATO,6/2.5,35.05,cs
106470,HARVEST,4965 1/2 MAXI SWEET FRIES,6/2.5,35.05,CS
106480,HARVEST,4566 SWEET POTATO K/K,6/2.5,35.05,cs
106600,PREMIUM,S/S FRIES 6/6,L,29.00,cs
150037,SIMPLOT,677796 ROAST PEPP & ONION,6/2.5,36.82,CS
150170,SIMPLOT,790990 ROAST SW CUT CORN,1/20,42.20,cS
151100,HANOVER,BEANS CUT GREEN,1/30,0.77,LB
152300,REGAL NP,ASPARAGUS CUTS & TIPS,6/2.5,1.93,1B
152600,REGAL NP,BEANS BABY LIMA,12/2.,1.53,LB
152800,REGAL NP,BEANS ITALIAN,12/2,0.97,LB
153000,REGAL NP,BEANS REGULAR CUT BULK,1/20,.77,«1B
153120,REGAL NP,BEANS WAX BULK,1/20,:95,LB
153200,REGAL NP,BEANS WHOLE,12/2,0.87,LB
153500,REGAL NP,BROCCOLI CUTS,12/2.,0.84,LB
153710,REGAL NP,BROCCOLI FLORETS SELECT,12/2,96,LB
153730,REGAL NP,BROCCOLI FLORETS IQF ECDR,12/2,1.12,LB
153750,REGAL NP,BROCCOLI FLORETS BULK,1/20,0.98,LB
153770,SEABROOK,BROCCOLI RABE,12/2,1.29,LB
154000,REGAL NP,BROCCOLI CHOPPED BULK,1/20,0.92,LB
154220,REGAL NP,BRUSSEL SPROUTS BULK,1/20,97,LB
154350,REGAL NP,CALIFORNIA BLEND BULK,1/20,.95,LB
154500,REGAL NP,CARROTS DICED BULK,1/20,65,LB
154700,REGAL NP,CARROTS KK SLICED,1/20,.61,LB
154900,REGAL NP,CARROTS SLICED SMOOTH,1/20,68,LB
155100,REGAL NP,CAULIFLOWER,12/2,93,LB
155140,REGAL NP,CAULIFLOWER RICE,1/20,"1,21",LB
155250,REGAL NP,CELERY DICED,1/20,88,LB
155400,REGAL NP,CORN 3 INCH COB,1/96,26.90,cs
155500,REGAL NP,"CORN 5"" COB",1/48,26.90,cs
155700,REGAL NP,CORN CUT BULK,1/20,96,LB
155750,REGAL NP,EDAMAME SHELLED,1/24,1.42,LB
155790,REGAL NP,BEANS FAVA 10 KG,10/1,39.00,cs
155950,AVO-KING,10122 GUACOMOLE WESTERN,12/1,4.17,LB
156200,REGAL NP,ITALIAN BLEND,12/2,+96,LB
156300,REGAL NP,KALE CHOPPED,12/3,1.12,LB
156410,REGAL NP,MIXED VEG 5-WAY (PRINTED),12/2.,1.00,LB
156600,REGAL NP,MUSHROOMS SLICED BULK,1/20,1.58,LB
156700,REGAL NP,MUSTARD GREENS CHOPPED,12/3,1.12,LB
156900,REGAL NP,OKRA WHOLE,12/2,1.41,LB
157030,REGAL NP,ONIONS 3/8 DICED CANADIAN,1/20,.84,LB
157060,REGAL NP,ONIONS SLICED,1/20,83,LB
157120,REGAL NP,EDAMAME WHOLE PODS,1/20,1.04,LB
157210,REGAL NP,STIR FRY BLEND,12/2,1.25,LB
157400,REGAL NP,PEAS & CARROTS,12/2.,0.92,LB
157500,REGAL NP,PEAS & CARROTS BULK,1/20,89,LB
157700,REGAL NP,PEAS GREEN BULK,1/20,96,LB
154300,REGAL NP,CALIFORNIA BLEND,12/2,-97°,LB
154400,REGAL NP,CARROTS DICED,12/2,.67,LB
154650,OXFORD,CARROTS SHREDDED 54105,1/20,0.80,LB
154800,REGAL NP,CARROTS SLICE SMOOTH MED,12/2,:71,«LB
155060,REGAL NP,CARROTS SELECT BABY,12/2,.93,LB
155120,REGAL NP,CAULIFLOWER BULK,1/20,0.91,«LB
155200,REGAL NP,CELERY DICED BULK BELGIUM,1/20,0.91,LB
155300,REGAL NP,COLLARDS CHOPPED IQF,12/3,1.19,IB
155450,REGAL NP,"COB CORN BUTT ON 10""",1/48,36.50,cS
155600,REGAL NP,CORN CUT,12/2.,.97,LB
155720,REGAL NP,CORN CUT SWEET,12/2.,.89,LB
155760,REGAL NP,EDAMAME SHELLED,12/2,1.45,LB
155860,AVO-KING,13105 AVOCADO PULP,6/2,3.25,LB
156010,SIMPLOT,029830 WESTERN GUACAMOLE 6/3,L,86.74,CS
156250,REGAL NP,ITALIAN BLEND BULK,1/20,.95°,LB
156400,REGAL NP,MIXED VEGETABLES,12/2.,.88,«LB
156500,REGAL NP,MIXED VEGETABLES BULK,1/20,.87,LB
156610,REGAL NP,MUSHROOMS DICED 3/8 BULK,1/20,1.58,LB
156800,REGAL NP,OKRA CUT,12/2,1.04,LB
157000,REGAL NP,ONIONS 3/8IN DICED 20LB,1/20,0.74,LB
157050,REGAL NP,ONIONS RED DICED,1/20,:77,LB
157100,REGAL NP,ONIONS PEARL,12/2,1.13,LB
157200,REGAL NP,ORIENTAL BLEND,12/2,1.00,LB
157220,REGAL NP,ITALIAN CAPRI BLEND,12/2,1.01,LB
157420,REGAL NP,PEAS & CARROTS,12/2,0.91,LB
157600,REGAL NP,PEAS & PEARL ONIONS,12/2,1.25,LB
157800,REGAL NP,PEAS GREEN,12/2.,0.97,LB
157930,FACUNDO,PIGEON PEAS GREEN,7/34,2.05,LB
158005,RR BRUSSEL,SPROUTS 1/1,T,71,LB
158060,REGAL NP,PEPPER STRIPS GREEN 3/8,1/20L,0.96,LB
158300,REGAL NP,PEPPERS RED DICED IQF,1/20,0.98,LB
158375,FACUNDO,72059 PLANTAINS SLICED 6/4,L,34.52,cs
158385,FARMERS,PLANTAINS SLICED 4/6,L,29.80,cs
158500,REGAL NP,RHUBARB,1/10,2.25,LB
158850,REGAL NP,SPINACH CHOPPED IQF,1/20,+90,LB
158870,REGAL NP,SPINACH CHOPPED IQF POLY,12/2,195,LB
158890,REGAL NP,SPINACH LEAF PRINTED POLY,12/3,77,LB
158920,REGAL NP,SPINACH CHOP BLACK LABEL,12/3,71,LB
159050,RR,BUTTERNUT SQUASH ORGANIC,1/20,1.60,LB
159200,REGAL NP,SQUASH MASHED (BUTTERNUT),12/4,83,LB
159300,REGAL NP,SQUASH YELLOW,12/3,1.00,LB
159500,REGAL NP,WINTER BLEND,12/2,96,LB
159570,CARIBBEAN,YUCA RAW FROZEN 6/5,L,45.45,cs
159600,REGAL NP,ZUCCHINI SLICED,12/3,.88,LB
159800,GREG PAK,ORANGE JUICE CARTONS,12/32,80.00,cs
159850,JEWEL,"APPLES SLICED 1/2"" GRANNY",1/40,1.35,LB
159900,RR APPLES,SLICED 7+1,1/30,1.155,LB
159980,RR BANANAS,SLICED ORGANIC,1/30,1.17,LB
160110,RR ORGANIC,BLUEBERRIES,1/30,2.55,LB
160130,REGAL NP,BLUEBERRIES CULTIVATED 2/5,L,1.83,LB
160300,RR,CHERRIES RTP 5+1 TUBS,1/30,1.75,LB
160360,REGAL NP,CRANBERRIES WHOLE,1/20,1.35,LB
160500,REGAL NP,PEACHES SLICED 2/5,L,2.04,LB
160610,REGAL NP,MANGO CHUNKS 2/5,L,1.60,LB
158000,REGAL NP,PEAS SUGARSNAP,12/2,1.46,LB
158050,REGAL NP,PEPPER STRIP BLEND,1/25,0.96,LB
158070,REGAL NP,PEPPER STRIPS RED 3/8,1/20L,1.00,LB
158350,REGAL NP,PEPPERS GREEN DICED IQF,1/20,0.94,LB
158380,FACUNDO,TOSTONES 6/3,L,28.64,cs
158450,REGAL NP,PRINCE EDWARD ISLE BLEND,12/2,1.10,LB
158600,REGAL NP,RUTABAGA DICED,12/2,97,LB
158860,REGAL NP,SPINACH CHOPPED IQF,1/35,0.90,LB
158880,REGAL NP,SPINACH CHOPPED PRNT POLY,12/3,76,LB
158900,SEABROOK,SPINACH CUT LEAF IQF,1/32,1.09,LB
158950,REGAL NP,SPINACH CHOPPED KOSHER PC,1/10,1.04,LB
159190,SEABROOK,SPINACH CHOPPED IQF USA,1/35,1.20,IB
159250,REGAL NP,TOMATOES DICED,1/10,1.01,LB
159400,REGAL NP,TURNIP GREENS,12/3,1.13,LB
159550,REGAL NP,SQUASH BUTTERNUT DICE 1/2,1/30,1.03,LB
159575,REGAL NP,SUMMER BLEND,12/2,:97°,LB
159615,REGAL NP,ZUCCHINI DICED,1/20,+91,LB
159845,CAHOON,APPLES DICED IQF 3/8”,1/40,1.28,LB
159880,CAHOON,"APPLES SLICE 5/8"" IDA RED",1/40,1.30,LB
159950,REGAL NP,IQF SLICED BANANAS,1/20,.87,LB
160000,REGAL NP,BLACKBERRIES IQF,2/5L,1.90,IB
160120,REGAL NP,BLUEBERRIES CULTIVATED,1/30,1.63,LB
160200,WYMANS,BLUEBERRIES WILD 0155,1/30,2.90,LB
160350,REGAL NP,CRANBERRIES SLICED,1/20,1.40,LB
160410,WYMANS,CRANBERRIES WHOLE IQF,2/5L,1.45,LB
160600,REGAL NP,MANGO CHUNKS,1/30,1.55,LB
160650,REGAL NP,MANGO CHUNKS ORGANIC,1/30,2.20,LB
160950,REGAL NP,PINEAPPLE CHUNKS IQF,1/10,1.55,LB
160980,RR,PINEAPPLE CHUNKS ORGANIC,1/30,2.60,LB
161020,REGAL NP,RASPBERRIES RED CRUMBLES,1/30,2.85,LB
161100,TAMARA,STRAWBERRIES SLICED 4+1,6/6.5,1.61,LB
161210,REGAL NP,STRAWBERRIES IQF WHOLE 30,1/30,1.25,LB
161230,REGAL NP,STRAWBERRIES SLICED IQF,1/30,1.33,LB
161310,REGAL NP,STRAWBERRIES SLICED 4+1,6/6.5,1.57,LB
161610,TROPICAL,628 ACAI ORGANIC PURPLE,60/3.,45.64,cs
161650,TROPICAL,605 DRAGON FRUIT PITAYA,60/3.,50.62,cs
162015,PERF PUREE,100401 PAPAYA PUREE,6/30,74.00,cs
162025,PERF PUREE,100701 POMEGRANATE CONC,6/30,122.00,cs
162035,PERF PUREE,101001 BLACKBERRY PUREE,6/30,106.00,cs
162045,PERF PUREE,101401 MANGO PUREE,6/30,72.00,cs
162055,PERF PUREE,101501 BLOOD ORANGE CONC,6/30,102.60,cs
162065,PERF PUREE,101801 STRAWBERRY PUREE,6/30,78.60,cs
162075,PERF PUREE,102201 RASPBERRY PUREE,6/30,100.00,cs
162085,PERF PUREE,102501 PEAR PUREE,6/30,58.00,cs
162095,PERF PUREE,102901 GREEN APPLE PUREE,6/30,66.00,cs
162110,PERF PUREE,106278 LEMON ZEST PUREE,6/35,160.20,cs
162120,PERF PUREE,105301 TAMARIND PUREE,6/30,92.00,cs
162130,PERF PUREE,105601 BLUEBERRY PUREE,6/30,86.80,cs
162140,PERF PUREE,106208 MEYER LEMON CONC,6/30,80.00,cs
162150,PERF PUREE,106220 COCONUT PUREE,6/30,97.00,cs
162165,PERF PUREE,106246 MAND/TANGERIN CONC,6/30,67.20,cs
164030,PERF PUREE,106393 CRANBERRY PUREE,6/30,87.00,cs
164105,PERF PUREE,106373 THAI/BASIL BLK PEP,6/28,45.00,cs
170000,REGAL NP,MIXED BERRIES 2/5,L,"2,15",LB
160960,REGAL NP,PINEAPPLE CHUNKS IQF,2/SL,1.70,LB
161000,REGAL NP,RASPBERRIES RED IQF,1/10,2.85,LB
161050,RR,RASPBERRIES IQF,1/10,2.75,LB
161200,REGAL NP,STRAWBERRIES IQF 2/5LB 2/5,L,1.28,LB
161220,REGAL NP,STRAWBERRIES SLICED 4+1,1/30#,1.52,LB
161300,RR,STRAWBERRIES ORGANIC WHL,1/30,2.45,LB
161600,TROPICAL,601 ACAI BERRY NO SUGAR,60/3.,45.64,CS
161620,TROPICAL,6392 ACAI SORBET,1/2.6,71.45,CS
162010,PERF PUREE,100201 APRICOT PUREE,6/30,67.00,cs
162020,PERF PUREE,100601 PASSION FRUIT CONC,6/30,139.00,CS
162030,PERF PUREE,100801 PINK GUAVA PUREE,6/30,65.00,CS
162040,PERF PUREE,106273 KIWI PUREE,6/30,68.00,cs
162050,PERF PUREE,102204 RASPBERRY PUREE 30,1/30,125.50,CS
162060,PERF PUREE,106236 WHITE PEACH PUREE,6/30,65.00,CS
162070,PERF PUREE,102001 BLK CURRANT PUREE,6/30,90.20,CS
162080,PERF PUREE,102401 BANANA PUREE,6/30,53.60,cs
162090,PERF PUREE,102601 PRICKLY PEAR PUREE,6/30,84.00,CS
162105,PERF PUREE,106223 GINGER PUREE,6/38,100.00,cs
162115,PERF PUREE,106366 ORANGE ZEST PUREE,6/35,125.20,cS
162125,PERF PUREE,105401 LYCHEE PUREE,6/30,93.20,cs
162135,PERF PUREE,106207 CHERRY PUREE,6/30,104.60,cs
162145,PERF PUREE,106209 KEY LIME CONC,6/30,58.20,cs
162160,PERF PUREE,106244 CARM PINEAPPL CONC,6/30,76.60,CS
163025,PERF PUREE,106370 YUZU LUXE SOUR MIX,6/28,61.70,CS
164100,PERF PUREE,106372 CHIPOTLE SOUR MIX,6/28,52.00,CS
164110,PERF PUREE,106482 SWEET HIBISCUS,6/30,82.00,cs
170100,OXFORD,BLUEBERRIES WILD,1/30,2.20,LB
200170,SOUP SENSA,117106 CHILI WITH BEEF 4/4,L,28.50,cs
200230,SOUP SENSA,117110 CHIX WILD RICE 4/4,L,24.00,cs
200290,SOUP SENSA,117969 ROAST CORN CHOWDER 4/4,L,45.50,cS
250550,BREW CITY,"70010011 0/R 5/8""BEER BAT",6/2.5,53.98,cS
250750,MOORES,"010612 O/R 3/8""HOMESTYLE",12/2.,96.23,CS
251100,ANCHOR,8469 POPPER JAL/CRM CHSE 4/4,L,79.71,CS
251700,ANCHOR,50005800 ZUCCHINI STIX BR,4/3.5,47.21,CS
252500,ANCHOR,50010277 BRD CHED BROC BT,6/2.5,81.41,cS
253810,FREDS,142220 MAC & CHEESE BITES 6/2,L,48.13,cS
254600,GOLDENCRSP,8428 CORN NUGGET BATTERED 6/2,L,32.16,CS
255250,REGAL NP,ONION RINGS FORMED 0/R 8/2,L,26.65,cs
255700,MATLAWS,12712 CLAMS STUFFED ITAL,12/7,48.35,CS
256800,COUNTRYAC,33028 BATTERED O/R,1/10,16.45,cs
267100,REGAL NP,267100 MOZZARELLA BATTER 6/2,L,39.95,CS
267200,REGAL NP,267200 MOZZ STIX BREADED 4/3,L,39.95,CS
267240,FF,542 BATTERED O/R,10/1,17.50,cs
267290,FF,541 BEER BATTERED O/R,10/1,17.50,cs
267450,REGAL NP,26745 O/R BATTER DIP BULK,1/10,21.65,cS
267600,ALE HOUSE,33223 O/R BEER BATTER 5/8,4/2.5,22.38,cS
267800,REGAL NP,267800 STUF POPP JAL/CRM 4/3,L,45.50,cS
301700,VISIONARY,CHIX WING PORTIONS IQF,6/SL,1.64,IB
302180,WAYNE FARM,25576 FC GRILL CHIX BRST 2/5,L,55.00,CS
302320,WAYNE,4094 CHIX TENDER BRD GOLD,2/4.5,47.72,cS
302480,WAYNE,24677 WING FC HALAL SPICY,1/15,52.50,cS
302495,WAYNE,13476 WINGS SPICY BRD F/C 3/5,L,51.50,cS
302630,WAYNE,17446 CHIX TENDER BREADED 2/5,L,33.50,CS
306200,PIERCE,65715 WING DINGS,1/15,52.85,cs
200190,SOUP SENSA,117108 CLAM CHOWDER,4/4L,57.00,cS
200280,SOUP SENSA,117968 TUSCAN WHITE BEAN 4/4,L,48.65,CS
250450,MOORES,"00009775 O/R 3/4"" GOURMET",12/2,80.82,CS
250650,MOORES,"40010043 O/R 3/8"" BATTERD",6/2.5,52.26,CS
251000,ANCHOR,50010138 MUSHROOM BREADED,6/2.5,53.01,CS
251200,ANCHOR,8467 POPPER JAL/CHEDDAR 4/4,L,80.71,CS
252100,MOORES,40010289 MOZZ STIX BREAD 4/3,L,54.10,cS
253700,FREDS,0204620 MOZZ STIX BREADED 6/4,L,127.00,CS
254300,GOLDENCRSP,8375 MUSHROOM BATTERED 6/2,L,42.28,CS
254700,GOLDENCRSP,8455 ZUCCHINI STIX BATTER 6/2,L,39.71,cs
255500,REGAL NP,00519 PIZZA EGG ROLLS,30/3,32.69,cs
255730,MATLAWS,32540 GOUR LG STUFF CLAMS,36/50,53.55,CS
260100,CAVENDISH,17147 PICKLE CHIP BATTERD 4/2,L,32.13,cs
267110,REGAL NP,MOZZ STICK BATTERED GREEN 4/3,L,34.95,CS
267210,REGAL NP,MOZZ STICK BREADED GREEN 4/3,L,33.95,CS
267270,ATLANTIC,33211 O/R GOURMET BRD 5/8,4/2.5,21.66,CS
267400,FREDS,0291320 O/R BATTER DIPT,4/2.5,32.52,CS
267500,FREDS,291020 O/R BEER BATTERED,4/2.5,34.80,CS
267700,REGAL NP,267700 POPPER JAL/CHEDDAR 4/3,L,45.50,CS
267910,HANOVER,29416 BREADED OKRA 4/5,L,1.60,LB
302100,WAYNE,3900 WING BUFFALOOS JUMBO,2/4.5,39.70,CS
302300,WAYNE,4033 CHIX BRST BRD F/C 2/5,L,47.80,cs
302440,WAYNE,22334 CRISPY FLIER CHUNK 2/5,L,52.30,CS
302490,WAYNE,13475 WINGS MILD BRD F/C 3/5,L,50.75,CS
302530,WAYNE,15138 WINGS STEAMED JUMBO 6/5,L,118.50,CS
306100,PIERCE,6264 FAJITA SIZZLE STRIPS 2/5,L,49.00,CS
306300,PIERCE,61015 WING DINGS,1/15,52.85,cS
306855,PIERCE,111355 WING ZINGS BONELES 2/5,L,49.10,cs
307455,PIERCE,111354 CHIX DICED WHITE,1/10,5.475,LB
308750,RECETA ORO,"019229 SPINACH WRAPS 12""",6/1DZ,27.12,cs
309000,PERDUE,51102 TURKEY BACON 2/5,L,48.75,cs
309200,MAPLECREST,SWEETHEART NET TURKY 1154,2/12,4.29,LB
311000,TYSON,944-928 CHIX BRD CUTLET 2/5,L,55.00,cs
311100,TYSON,16268 CHIX TENDER STEAKHS 2/5,L,42.00,cs
311120,TYSON,77441 BREADED CHIX TENDER 2/5,L,36.25,cs
311220,TYSON,38361 CHIX BRD FILET 3.5 2/5,L,38.50,cs
311300,TYSON,38387 TEMPURA CHIX NUGGET 2/5,L,28.15,cs
330000,PERDUE,07325 FAJITA STRIP GRILL 2/5,L,45.25,cs
331260,PERDUE,80948 F/C FRIED CHIX 8PC,1/CWT,4.88,LB
331800,PERDUE,82036 WINGS SPICY BRD 3/5,L,57.40,cs
333250,JENNIE O,853602 TURKEY BRST FESTIV,2/CWT,3.30,LB
350800,RR,2004F BEEF PATTY 40Z FLAT,1/10,4.095,LB
351000,RR,2006F BEEF PATTY 602 FLAT,1/10,4.095,LB
351175,B&M CENTER,CITY STEAK 40Z,1/10,39.00,cs
351190,CENTER,CENTER CITY STEAK 80Z,1/10,6.25,cs
351420,SILVERSPRI,88050 CHIX BREAST STK 50Z,1/10,3.105,LB
352100,REGAL NP,78050 BEEF SLIC 50Z YELLO,1/10,4.465,LB
352120,REGAL NP,78070 BEEF SLICE 70Z YELL,1/10,4.415,LB
353410,TOWER ISLE,50053 JAMAICAN PATTY F/C,50/5,60.00,cs
353800,EMBERFARMS,11100 SAUSAGE PATTY 202,1/10,2.99,LB
353920,HATFIELD,2430 RIBEEZ FC,36/PL,7.00,LB
354100,HATFIELD,3505 RIBS CKD BABY BACK,12/15,6.305,LB
354500,JIMMY DEAN,19137 SAUSAGE PATTY CK20Z,80/2,3.745,LB
354700,JONES,018505 SAUSAGE LINK CK10Z,160/1,3.955,LB
307408,PIERCE,7213 TENDER FRITTERS 2/5,L,38.15,cs
308730,RECETA ORO,019226 WRAPS HONEY WHEAT,6/1DZ,24.15,CS
308760,TYSON,"7828 WRAPS WHITE/PLAIN12""",6/1DZ,21.56,CS
309100,PERDUE,65009 TURKEY GROUND 4/5,L,1.345,LB
309250,PACKER,TURKEY 12-14LB,4/PIE,1.69,IB
311050,TYSON,4002 CHIX BRST FILET PARM 2/5,L,62.24,CS
311110,TYSON,76156 BRANDYWINE TENDERS 2/5,L,40.50,CS
311200,TYSON,38351 CHIX GRILL 402 F/C 2/5,L,63.50,cs
311235,TYSON,38364 F/C CHIX TEND CRISP 2/5,L,35.55,CS
320152,PERDUE,50103 SAUSG TKY RTC LINK,160/1,36.95,cS
330630,PERDUE,80120 CHTX NUGGET DINO FC 2/5,L,32.20,cS
331700,PERDUE,82035 WINGS MILD BRD 3/5,L,56.62,cS
333240,JENNIE,0 968602 TURKEY BRST HONEY,2/CWE,4.25,LB
350700,RR,2003F BEEF PATTY 30Z FLAT,1/10,4.095,LB
350900,RR,2005F BEEF PATTY 50% FLAT,1/10,4.095,LB
351100,RR,2008F BEEF PATTY 80Z FLAT,1/10,4.095,LB
351180,CENTER,CENTER CITY STEAK 70Z,1/10,6.25,cs
351400,SILVERSPRI,88040 CHIX BREAST STK 40Z,1/10,3.105,LB
352000,REGAL NP,78040 BEEF SLIC 40Z YELLO,1/10,4.465,LB
352110,REGAL NP,78060 BEEF SLIC 60Z YELL,1/10,4.465,LB
353400,TOWER ISLE,50051 JAMAICAN PATTY,50/5,57.90,cS
353730,RR,0004 F/C BACON TOPPING 2/5,L,39.95,cS
353810,EMBER FARM,11105 SAUSAGE PATTY 1.50Z,1/10,2.99,LB
354000,HATFIELD,3050 SAUSAGE LINK RAW 2.4,2/10,3.415,LB
354200,HATFIELD,3532 SAUSAGE PATTY CK 20Z 2/5,L,3.185,LB
354600,JIMMY DEAN,23704 SAUSAGE LINK CK 10Z,160/1,4.285,LB
